Vehicle	Model Year	Fuel	Pollutant	Emission Rate [g/gge]
VCC 22400 (DSL LHD1)	2016	DSL	PM10	2.245175834
VCC 22400 (DSL LHD1)	2016	DSL	PM25	1.087215567
VCC 22400 (DSL LHD1)	2016	DSL	ROG	1.685123324
VCC 22400 (DSL LHD1)	2016	DSL	TOG	1.918400906
VCC 22400 (DSL LHD1)	2017	DSL	CH4	0.08058613
VCC 22400 (DSL LHD1)	2017	DSL	CO	8.424768709
VCC 22400 (DSL LHD1)	2017	DSL	CO2	11454.35606
VCC 22400 (DSL LHD1)	2017	DSL	HC	1.370014801
VCC 22400 (DSL LHD1)	2017	DSL	NOx	4.418493434
VCC 22400 (DSL LHD1)	2017	DSL	PM	2.355691145
VCC 22400 (DSL LHD1)	2017	DSL	PM10	2.318673392
VCC 22400 (DSL LHD1)	2017	DSL	PM25	1.122331896
VCC 22400 (DSL LHD1)	2017	DSL	ROG	1.73497205
VCC 22400 (DSL LHD1)	2017	DSL	TOG	1.975150345
VCC 22400 (DSL LHD1)	2018	DSL	CH4	0.086024921
VCC 22400 (DSL LHD1)	2018	DSL	CO	8.991049981
VCC 22400 (DSL LHD1)	2018	DSL	CO2	11454.35606
VCC 22400 (DSL LHD1)	2018	DSL	HC	1.462477511
VCC 22400 (DSL LHD1)	2018	DSL	NOx	3.914271614
VCC 22400 (DSL LHD1)	2018	DSL	PM	2.497406222
VCC 22400 (DSL LHD1)	2018	DSL	PM10	2.457918228
VCC 22400 (DSL LHD1)	2018	DSL	PM25	1.177965878
VCC 22400 (DSL LHD1)	2018	DSL	ROG	1.852065806
VCC 22400 (DSL LHD1)	2018	DSL	TOG	2.108453827
VCC 22400 (DSL LHD1)	2019	DSL	CH4	0.085767251
VCC 22400 (DSL LHD1)	2019	DSL	CO	8.960755966
VCC 22400 (DSL LHD1)	2019	DSL	CO2	11454.35606
VCC 22400 (DSL LHD1)	2019	DSL	HC	1.458096841
VCC 22400 (DSL LHD1)	2019	DSL	NOx	3.396352187
VCC 22400 (DSL LHD1)	2019	DSL	PM	2.44992392
VCC 22400 (DSL LHD1)	2019	DSL	PM10	2.410716021
VCC 22400 (DSL LHD1)	2019	DSL	PM25	1.132572735
VCC 22400 (DSL LHD1)	2019	DSL	ROG	1.846518234
VCC 22400 (DSL LHD1)	2019	DSL	TOG	2.102138238
VCC 22400 (DSL LHD1)	2020	DSL	CH4	0.085485426
VCC 22400 (DSL LHD1)	2020	DSL	CO	8.92602897
VCC 22400 (DSL LHD1)	2020	DSL	CO2	11454.35606
VCC 22400 (DSL LHD1)	2020	DSL	HC	1.453305655
VCC 22400 (DSL LHD1)	2020	DSL	NOx	2.868501738
VCC 22400 (DSL LHD1)	2020	DSL	PM	2.401836526
VCC 22400 (DSL LHD1)	2020	DSL	PM10	2.362912144
VCC 22400 (DSL LHD1)	2020	DSL	PM25	1.086595645
VCC 22400 (DSL LHD1)	2020	DSL	ROG	1.840450709
VCC 22400 (DSL LHD1)	2020	DSL	TOG	2.095230715
VCC 22601 (DSL T6 Ag)	2010	DSL	CH4	0.053409176
VCC 22601 (DSL T6 Ag)	2010	DSL	CO	3.056126005
VCC 22601 (DSL T6 Ag)	2010	DSL	CO2	11454.35609
VCC 22601 (DSL T6 Ag)	2010	DSL	HC	0.907994795
VCC 22601 (DSL T6 Ag)	2010	DSL	NOx	41.29739486
VCC 22601 (DSL T6 Ag)	2010	DSL	PM	1.477863398
VCC 22601 (DSL T6 Ag)	2010	DSL	PM10	1.452783578
VCC 22601 (DSL T6 Ag)	2010	DSL	PM25	0.689605219
VCC 22601 (DSL T6 Ag)	2010	DSL	ROG	1.149884853
VCC 22601 (DSL T6 Ag)	2010	DSL	TOG	1.309056233
VCC 22601 (DSL T6 Ag)	2011	DSL	CH4	0.025546343
VCC 22601 (DSL T6 Ag)	2011	DSL	CO	2.277929556
VCC 22601 (DSL T6 Ag)	2011	DSL	CO2	11454.35604
VCC 22601 (DSL T6 Ag)	2011	DSL	HC	0.434306421
VCC 22601 (DSL T6 Ag)	2011	DSL	NOx	23.03037616
VCC 22601 (DSL T6 Ag)	2011	DSL	PM	1.342455068
VCC 22601 (DSL T6 Ag)	2011	DSL	PM10	1.318517315
VCC 22601 (DSL T6 Ag)	2011	DSL	PM25	0.57538398
VCC 22601 (DSL T6 Ag)	2011	DSL	ROG	0.55000609
VCC 22601 (DSL T6 Ag)	2011	DSL	TOG	0.626139632
VCC 22601 (DSL T6 Ag)	2012	DSL	CH4	0.024016908
VCC 22601 (DSL T6 Ag)	2012	DSL	CO	2.72807404
VCC 22601 (DSL T6 Ag)	2012	DSL	CO2	11454.35606
VCC 22601 (DSL T6 Ag)	2012	DSL	HC	0.408304913
VCC 22601 (DSL T6 Ag)	2012	DSL	NOx	40.13131559
VCC 22601 (DSL T6 Ag)	2012	DSL	PM	1.273693929
VCC 22601 (DSL T6 Ag)	2012	DSL	PM10	1.250809345
VCC 22601 (DSL T6 Ag)	2012	DSL	PM25	0.53827591
VCC 22601 (DSL T6 Ag)	2012	DSL	ROG	0.517077313
VCC 22601 (DSL T6 Ag)	2012	DSL	TOG	0.588653144
VCC 22601 (DSL T6 Ag)	2013	DSL	CH4	0.022892365
VCC 22601 (DSL T6 Ag)	2013	DSL	CO	2.598209905
VCC 22601 (DSL T6 Ag)	2013	DSL	CO2	11454.35606
VCC 22601 (DSL T6 Ag)	2013	DSL	HC	0.389186889
VCC 22601 (DSL T6 Ag)	2013	DSL	NOx	30.10104817
VCC 22601 (DSL T6 Ag)	2013	DSL	PM	1.301362394
VCC 22601 (DSL T6 Ag)	2013	DSL	PM10	1.277946657
VCC 22601 (DSL T6 Ag)	2013	DSL	PM25	0.548461263
VCC 22601 (DSL T6 Ag)	2013	DSL	ROG	0.492866309
VCC 22601 (DSL T6 Ag)	2013	DSL	TOG	0.561090797
VCC 22601 (DSL T6 Ag)	2014	DSL	CH4	0.020978901
VCC 22601 (DSL T6 Ag)	2014	DSL	CO	2.381746461
VCC 22601 (DSL T6 Ag)	2014	DSL	CO2	11454.35607
VCC 22601 (DSL T6 Ag)	2014	DSL	HC	0.356656536
VCC 22601 (DSL T6 Ag)	2014	DSL	NOx	27.94216895
VCC 22601 (DSL T6 Ag)	2014	DSL	PM	1.377216697
VCC 22601 (DSL T6 Ag)	2014	DSL	PM10	1.352367995
VCC 22601 (DSL T6 Ag)	2014	DSL	PM25	0.577423495
VCC 22601 (DSL T6 Ag)	2014	DSL	ROG	0.451669824
VCC 22601 (DSL T6 Ag)	2014	DSL	TOG	0.514191744
VCC 22601 (DSL T6 Ag)	2015	DSL	CH4	0.020250074
VCC 22601 (DSL T6 Ag)	2015	DSL	CO	2.299283526
VCC 22601 (DSL T6 Ag)	2015	DSL	CO2	11454.35607
VCC 22601 (DSL T6 Ag)	2015	DSL	HC	0.344265912
VCC 22601 (DSL T6 Ag)	2015	DSL	NOx	27.45255433
VCC 22601 (DSL T6 Ag)	2015	DSL	PM	1.381372815
VCC 22601 (DSL T6 Ag)	2015	DSL	PM10	1.356432811
VCC 22601 (DSL T6 Ag)	2015	DSL	PM25	0.578446959
VCC 22601 (DSL T6 Ag)	2015	DSL	ROG	0.435978276
VCC 22601 (DSL T6 Ag)	2015	DSL	TOG	0.496328139
VCC 22601 (DSL T6 Ag)	2016	DSL	CH4	0.020261915
VCC 22601 (DSL T6 Ag)	2016	DSL	CO	2.300713988
VCC 22601 (DSL T6 Ag)	2016	DSL	CO2	11454.35606
VCC 22601 (DSL T6 Ag)	2016	DSL	HC	0.344467345
VCC 22601 (DSL T6 Ag)	2016	DSL	NOx	27.7938742
VCC 22601 (DSL T6 Ag)	2016	DSL	PM	1.380743639
VCC 22601 (DSL T6 Ag)	2016	DSL	PM10	1.35581554
VCC 22601 (DSL T6 Ag)	2016	DSL	PM25	0.578222551
VCC 22601 (DSL T6 Ag)	2016	DSL	ROG	0.436233538
VCC 22601 (DSL T6 Ag)	2016	DSL	TOG	0.496618614
VCC 22601 (DSL T6 Ag)	2017	DSL	CH4	0.021056835
VCC 22601 (DSL T6 Ag)	2017	DSL	CO	2.391040894
VCC 22601 (DSL T6 Ag)	2017	DSL	CO2	11454.35606
VCC 22601 (DSL T6 Ag)	2017	DSL	HC	0.357981685
VCC 22601 (DSL T6 Ag)	2017	DSL	NOx	29.1304007
VCC 22601 (DSL T6 Ag)	2017	DSL	PM	1.434246538
VCC 22601 (DSL T6 Ag)	2017	DSL	PM10	1.408353271
VCC 22601 (DSL T6 Ag)	2017	DSL	PM25	0.600657073
VCC 22601 (DSL T6 Ag)	2017	DSL	ROG	0.453347849
VCC 22601 (DSL T6 Ag)	2017	DSL	TOG	0.516102134
VCC 22601 (DSL T6 Ag)	2018	DSL	CH4	0.021055402
VCC 22601 (DSL T6 Ag)	2018	DSL	CO	2.390923592
VCC 22601 (DSL T6 Ag)	2018	DSL	CO2	11454.35606
VCC 22601 (DSL T6 Ag)	2018	DSL	HC	0.357957277
VCC 22601 (DSL T6 Ag)	2018	DSL	NOx	29.30008546
VCC 22601 (DSL T6 Ag)	2018	DSL	PM	1.434073428
VCC 22601 (DSL T6 Ag)	2018	DSL	PM10	1.408183674
VCC 22601 (DSL T6 Ag)	2018	DSL	PM25	0.60060461
VCC 22601 (DSL T6 Ag)	2018	DSL	ROG	0.453317233
VCC 22601 (DSL T6 Ag)	2018	DSL	TOG	0.516066992
VCC 22601 (DSL T6 Ag)	2019	DSL	CH4	0.021042165
VCC 22601 (DSL T6 Ag)	2019	DSL	CO	2.389442308
VCC 22601 (DSL T6 Ag)	2019	DSL	CO2	11454.35606
VCC 22601 (DSL T6 Ag)	2019	DSL	HC	0.357732368
VCC 22601 (DSL T6 Ag)	2019	DSL	NOx	29.36217142
VCC 22601 (DSL T6 Ag)	2019	DSL	PM	1.43415968
VCC 22601 (DSL T6 Ag)	2019	DSL	PM10	1.408268445
VCC 22601 (DSL T6 Ag)	2019	DSL	PM25	0.60064407
VCC 22601 (DSL T6 Ag)	2019	DSL	ROG	0.453032176
VCC 22601 (DSL T6 Ag)	2019	DSL	TOG	0.515742634
VCC 22601 (DSL T6 Ag)	2020	DSL	CH4	0.021021079
VCC 22601 (DSL T6 Ag)	2020	DSL	CO	2.387050581
VCC 22601 (DSL T6 Ag)	2020	DSL	CO2	11454.35606
VCC 22601 (DSL T6 Ag)	2020	DSL	HC	0.35737359
VCC 22601 (DSL T6 Ag)	2020	DSL	NOx	29.34505092
VCC 22601 (DSL T6 Ag)	2020	DSL	PM	1.434424335
VCC 22601 (DSL T6 Ag)	2020	DSL	PM10	1.408528765
VCC 22601 (DSL T6 Ag)	2020	DSL	PM25	0.600746383
VCC 22601 (DSL T6 Ag)	2020	DSL	ROG	0.452578009
VCC 22601 (DSL T6 Ag)	2020	DSL	TOG	0.51522566
VCC 24724 (NG T7 SWCVng)	2010	ELEC	CH4	2.442602484
VCC 24724 (NG T7 SWCVng)	2010	ELEC	CO	25.9073384
VCC 24724 (NG T7 SWCVng)	2010	ELEC	CO2	1375.407844
VCC 24724 (NG T7 SWCVng)	2010	ELEC	HC	0.102248261
VCC 24724 (NG T7 SWCVng)	2010	ELEC	NOx	0.109168663
VCC 24724 (NG T7 SWCVng)	2010	ELEC	PM	0.043279334
VCC 24724 (NG T7 SWCVng)	2010	ELEC	PM10	0.095137424
VCC 24724 (NG T7 SWCVng)	2010	ELEC	PM25	0.071688252
VCC 24724 (NG T7 SWCVng)	2010	ELEC	ROG	0.097743858
VCC 24724 (NG T7 SWCVng)	2010	ELEC	TOG	1.163109952
VCC 24724 (NG T7 SWCVng)	2011	ELEC	CH4	0.770116476
VCC 24724 (NG T7 SWCVng)	2011	ELEC	CO	11.20874035
VCC 24724 (NG T7 SWCVng)	2011	ELEC	CO2	2881.366292
VCC 24724 (NG T7 SWCVng)	2011	ELEC	HC	9.667652309
VCC 24724 (NG T7 SWCVng)	2011	ELEC	NOx	0.555591867
VCC 24724 (NG T7 SWCVng)	2011	ELEC	PM	0.047240024
VCC 24724 (NG T7 SWCVng)	2011	ELEC	PM10	0.145964549
VCC 24724 (NG T7 SWCVng)	2011	ELEC	PM25	0.001576781
VCC 24724 (NG T7 SWCVng)	2011	ELEC	ROG	0.015004914
VCC 24724 (NG T7 SWCVng)	2011	ELEC	TOG	3.92254844
VCC 24724 (NG T7 SWCVng)	2012	ELEC	CH4	10.62173396
VCC 24724 (NG T7 SWCVng)	2012	ELEC	CO	12.5373629
VCC 24724 (NG T7 SWCVng)	2012	ELEC	CO2	2479.031996
VCC 24724 (NG T7 SWCVng)	2012	ELEC	HC	3.630794526
VCC 24724 (NG T7 SWCVng)	2012	ELEC	NOx	1.836521198
VCC 24724 (NG T7 SWCVng)	2012	ELEC	PM	0.018998809
VCC 24724 (NG T7 SWCVng)	2012	ELEC	PM10	0.019503167
VCC 24724 (NG T7 SWCVng)	2012	ELEC	PM25	0.052889665
VCC 24724 (NG T7 SWCVng)	2012	ELEC	ROG	0.094896684
VCC 24724 (NG T7 SWCVng)	2012	ELEC	TOG	6.597874676
VCC 24724 (NG T7 SWCVng)	2013	ELEC	CH4	5.008014263
VCC 24724 (NG T7 SWCVng)	2013	ELEC	CO	34.94106444
VCC 24724 (NG T7 SWCVng)	2013	ELEC	CO2	1790.589433
VCC 24724 (NG T7 SWCVng)	2013	ELEC	HC	7.878306297
VCC 24724 (NG T7 SWCVng)	2013	ELEC	NOx	1.007023149
VCC 24724 (NG T7 SWCVng)	2013	ELEC	PM	0.210653227
VCC 24724 (NG T7 SWCVng)	2013	ELEC	PM10	0.267438697
VCC 24724 (NG T7 SWCVng)	2013	ELEC	PM25	0.036611832
VCC 24724 (NG T7 SWCVng)	2013	ELEC	ROG	0.027223155
VCC 24724 (NG T7 SWCVng)	2013	ELEC	TOG	8.421068207
VCC 24724 (NG T7 SWCVng)	2014	ELEC	CH4	2.795747557
VCC 24724 (NG T7 SWCVng)	2014	ELEC	CO	31.81548083
VCC 24724 (NG T7 SWCVng)	2014	ELEC	CO2	8185.745474
VCC 24724 (NG T7 SWCVng)	2014	ELEC	HC	5.562802386
VCC 24724 (NG T7 SWCVng)	2014	ELEC	NOx	1.071132657
VCC 24724 (NG T7 SWCVng)	2014	ELEC	PM	0.058498123
VCC 24724 (NG T7 SWCVng)	2014	ELEC	PM10	0.105256973
VCC 24724 (NG T7 SWCVng)	2014	ELEC	PM25	0.05832507
VCC 24724 (NG T7 SWCVng)	2014	ELEC	ROG	0.146218416
VCC 24724 (NG T7 SWCVng)	2014	ELEC	TOG	3.726875173
VCC 24724 (NG T7 SWCVng)	2015	ELEC	CH4	0.552920885
VCC 24724 (NG T7 SWCVng)	2015	ELEC	CO	19.21780916
VCC 24724 (NG T7 SWCVng)	2015	ELEC	CO2	6030.433771
VCC 24724 (NG T7 SWCVng)	2015	ELEC	HC	6.842400268
VCC 24724 (NG T7 SWCVng)	2015	ELEC	NOx	0.340593189
VCC 24724 (NG T7 SWCVng)	2015	ELEC	PM	0.116853801
VCC 24724 (NG T7 SWCVng)	2015	ELEC	PM10	0.007769253
VCC 24724 (NG T7 SWCVng)	2015	ELEC	PM25	0.059346269
VCC 24724 (NG T7 SWCVng)	2015	ELEC	ROG	0.030569317
VCC 24724 (NG T7 SWCVng)	2015	ELEC	TOG	7.201709444
VCC 24724 (NG T7 SWCVng)	2016	ELEC	CH4	10.63126225
VCC 24724 (NG T7 SWCVng)	2016	ELEC	CO	13.21652443
VCC 24724 (NG T7 SWCVng)	2016	ELEC	CO2	9910.092753
VCC 24724 (NG T7 SWCVng)	2016	ELEC	HC	3.881984341
VCC 24724 (NG T7 SWCVng)	2016	ELEC	NOx	1.846868237
VCC 24724 (NG T7 SWCVng)	2016	ELEC	PM	0.172148306
VCC 24724 (NG T7 SWCVng)	2016	ELEC	PM10	0.222029281
