Year	Region	Vocation	Vehicle	Sales [veh]	Stock [veh]	 Travel [mi]	 Energy [mi]
2011	2	industrial	VCC 22400 (DSL LHD1)	462.0969210178641	473.8555001457758	1.0852474035004867e7	540331.1363073754
2012	1	agricultural	VCC 22601 (DSL T6 Ag)	8.923390347493981e-2	4.284397213829492	28039.126012682962	3106.3686458096363
2012	1	commercial	VCC 21400 (GAS LHD1)	193.78907098340483	276.2849317484236	6427198.979721098	630010.936752017
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	9.680918259843567	17.758293469298216	398947.6258837418	533129.7132322796
2012	1	industrial	VCC 21400 (GAS LHD1)	102.61699070416937	160.77564279453213	3599713.1432850906	352940.4245903079
2012	1	industrial	VCC 22400 (DSL LHD1)	670.3417564491069	1296.778546335966	2.877976448349381e7	1434903.89104634
2012	2	agricultural	VCC 22601 (DSL T6 Ag)	2.724357020510997e-2	0.6190797572001925	4087.797898498905	460.66301502037743
2012	2	commercial	VCC 21400 (GAS LHD1)	386.56485202155386	709.3061300031046	1.6350187091357732e7	1607816.4966414154
2012	2	commercial	VCC 24724 (NG T7 SWCVng)	42.566931060116296	66.95909784565262	1564641.8191424122	1999596.6842300221
2012	2	industrial	VCC 21400 (GAS LHD1)	133.3931966831578	238.31677693960236	5345726.707421296	525728.7911717074
2012	2	industrial	VCC 22400 (DSL LHD1)	405.2399298649667	874.3568750092847	1.9515626309897285e7	972279.6698494357
2013	1	agricultural	VCC 22601 (DSL T6 Ag)	0.0	4.2415532416911965	25708.875754863675	2848.5821798343313
2013	1	commercial	VCC 21400 (GAS LHD1)	265.9448989323123	539.4669813632516	1.2105474222295329e7	1187170.28600511
2013	1	commercial	VCC 24724 (NG T7 SWCVng)	30.00698579556303	47.58769633016826	1087990.513526134	761487.0046128522
2013	1	industrial	VCC 21400 (GAS LHD1)	110.60650148562722	269.77438785221403	5955542.6254841555	584074.3359031416
2013	1	industrial	VCC 22400 (DSL LHD1)	491.0450409864979	1774.8558018591043	3.868414710156092e7	1912897.5138141322
2013	2	agricultural	VCC 22601 (DSL T6 Ag)	0.0	0.6128889596281906	3968.140705001652	447.1825673520398
2013	2	commercial	VCC 21400 (GAS LHD1)	62.494859372603315	764.7079280756769	1.5718797908223588e7	1545555.8986565305
2013	2	commercial	VCC 24724 (NG T7 SWCVng)	7.037895703341938	73.32740257053803	1524102.7464453226	1781298.741345331
2013	2	industrial	VCC 21400 (GAS LHD1)	25.991616252745718	261.9252254229521	5676225.356326442	558115.426020277
2013	2	industrial	VCC 22400 (DSL LHD1)	115.38639507130894	980.9997013305009	2.123110841478649e7	1054120.5883634519
2014	1	agricultural	VCC 22601 (DSL T6 Ag)	0.0	4.199137709274285	23281.009959343	2579.90723474144
2014	1	commercial	VCC 21400 (GAS LHD1)	209.98688344768067	744.0591949972998	1.5738449767043827e7	1541967.5162932891
2014	1	commercial	VCC 24724 (NG T7 SWCVng)	22.72313100105888	69.83495036792546	1503053.163663507	870361.7952362312
2014	1	industrial	VCC 21400 (GAS LHD1)	87.33355906978395	354.4102030434758	7632779.836303533	747996.7014555963
2014	1	industrial	VCC 22400 (DSL LHD1)	387.7233927814763	2144.8306366219895	4.531755858095087e7	2226993.0131146642
2014	2	agricultural	VCC 22601 (DSL T6 Ag)	0.0	0.6067600700319087	3621.179121343223	408.1483083852668
2014	2	commercial	VCC 21400 (GAS LHD1)	189.84912140053498	946.9099701954551	1.878174044787939e7	1844269.8333264804
2014	2	commercial	VCC 24724 (NG T7 SWCVng)	23.027857794875594	95.62198633970824	1931424.792669498	1796783.7093814982
2014	2	industrial	VCC 21400 (GAS LHD1)	78.95826244566848	338.264235614391	7269157.411536245	713771.6347702502
2014	2	industrial	VCC 22400 (DSL LHD1)	350.52492215892113	1321.714626476117	2.8449354495429482e7	1398398.687931422
