Year	Region	Vocation	Vehicle	Fuel	 Energy [mi]
2017	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	316.19799721385226
2017	2	commercial	VCC 21400 (GAS LHD1)	GAS	2470438.0160283516
2017	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	1914265.8890784509
2017	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	542001.8542590617
2017	2	industrial	VCC 21400 (GAS LHD1)	GAS	1046186.3331220133
2017	2	industrial	VCC 22400 (DSL LHD1)	DSL	2139058.208655025
2018	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	2042.3068371586007
2018	1	commercial	VCC 21400 (GAS LHD1)	GAS	2326441.644926395
2018	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	942850.3500024248
2018	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	447758.54109871626
2018	1	industrial	VCC 21400 (GAS LHD1)	GAS	1105493.401082066
2018	1	industrial	VCC 22400 (DSL LHD1)	DSL	2830514.4092516843
2018	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	302.413724460478
2018	2	commercial	VCC 21400 (GAS LHD1)	GAS	2593376.2540482264
2018	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	1961244.947900196
2018	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	565297.7926335811
2018	2	industrial	VCC 21400 (GAS LHD1)	GAS	1112485.064887141
2018	2	industrial	VCC 22400 (DSL LHD1)	DSL	2274258.556498145
2019	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	1937.672988635898
2019	1	commercial	VCC 21400 (GAS LHD1)	GAS	2156786.4634340876
2019	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	861247.5066544309
2019	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	415332.6734833635
2019	1	industrial	VCC 21400 (GAS LHD1)	GAS	1066220.1884566308
2019	1	industrial	VCC 22400 (DSL LHD1)	DSL	2718773.710897037
2019	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	295.38483125133985
2019	2	commercial	VCC 21400 (GAS LHD1)	GAS	2664479.4238587148
2019	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	1880701.85729799
2019	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	579143.1973361684
2019	2	industrial	VCC 21400 (GAS LHD1)	GAS	1148841.1600139262
2019	2	industrial	VCC 22400 (DSL LHD1)	DSL	2354008.8818179327
2020	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	1710.5500405479704
2020	1	commercial	VCC 21400 (GAS LHD1)	GAS	2368673.930372911
2020	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	850825.6481259015
2020	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	452159.2580689058
2020	1	industrial	VCC 21400 (GAS LHD1)	GAS	1154491.156920252
2020	1	industrial	VCC 22400 (DSL LHD1)	DSL	2877105.5027846657
2020	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	277.58041036240616
2020	2	commercial	VCC 21400 (GAS LHD1)	GAS	2791864.0717756595
2020	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	1808982.7090986082
2020	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	605494.5154433657
2020	2	industrial	VCC 21400 (GAS LHD1)	GAS	1219750.8907970507
2020	2	industrial	VCC 22400 (DSL LHD1)	DSL	2499972.397047284
